title,overview,genres
Avatar,A marine on an alien planet becomes torn between following orders and protecting a new world,Action Adventure Sci-Fi
Titanic,A young aristocrat falls in love with a poor artist aboard the doomed ship,Romance Drama
The Dark Knight,Batman faces the Joker a criminal mastermind who plunges Gotham into chaos,Action Crime Drama
Inception,A thief enters dreams to steal secrets and plant ideas into targets minds,Sci-Fi Thriller Action
Interstellar,A team travels through a wormhole in space to save humanity,Sci-Fi Adventure Drama
The Matrix,A hacker discovers reality is a simulation and joins a rebellion,Sci-Fi Action
Gladiator,A betrayed Roman general seeks revenge against the corrupt emperor,Action Drama History
Avengers Endgame,Superheroes unite to reverse the damage caused by Thanos,Action Adventure Sci-Fi
Iron Man,A billionaire builds a powerful suit to become a superhero,Action Sci-Fi
Doctor Strange,A surgeon learns mystic arts to protect the world from dark forces,Fantasy Action Sci-Fi
Spider Man,A teenager gains spider powers and fights crime in New York,Action Adventure
Spider Man No Way Home,Spider Man faces villains from different universes,Action Adventure Sci-Fi
The Shawshank Redemption,A banker wrongly imprisoned forms a deep friendship and seeks freedom,Drama
Forrest Gump,A simple man lives an extraordinary life through decades of history,Drama Romance
The Godfather,A mafia family struggles to maintain power and loyalty,Crime Drama
The Godfather Part II,The early life of Vito Corleone and rise of Michael Corleone,Crime Drama
Joker,A failed comedian descends into madness and becomes Joker,Crime Drama Thriller
Parasite,A poor family infiltrates a wealthy household leading to unexpected events,Thriller Drama
Fight Club,A man forms an underground fight club with a mysterious stranger,Drama Thriller
Pulp Fiction,Stories of crime intertwine in Los Angeles underworld,Crime Drama
Django Unchained,A freed slave sets out to rescue his wife from a brutal plantation owner,Drama Western
The Lion King,A lion cub flees his kingdom and returns to reclaim his throne,Animation Adventure Drama
Frozen,A princess with ice powers learns to control her abilities,Animation Fantasy Adventure
Toy Story,Toys come alive when humans are not around,Animation Adventure Comedy
Finding Nemo,A father fish travels across the ocean to find his lost son,Animation Adventure
Cars,A race car learns humility and friendship in a small town,Animation Adventure Comedy
Jurassic Park,Scientists create dinosaurs leading to chaos in a theme park,Adventure Sci-Fi Thriller
Jurassic World,A new dinosaur theme park faces disaster when hybrid dinosaur escapes,Adventure Sci-Fi Action
King Kong,A giant ape is captured and brought to civilization,Adventure Fantasy Action
Godzilla,A giant monster emerges to threaten humanity,Action Sci-Fi Thriller
Transformers,Robots from another world battle on Earth,Action Sci-Fi Adventure
Harry Potter and the Sorcerers Stone,A young wizard begins his journey at Hogwarts,Fantasy Adventure
Harry Potter and the Deathly Hallows,Harry faces Voldemort in the final battle,Fantasy Adventure
The Hobbit,A hobbit goes on a journey with dwarves to reclaim their homeland,Fantasy Adventure
Lord of the Rings Fellowship,A hobbit begins a journey to destroy a powerful ring,Fantasy Adventure
Lord of the Rings Return of the King,The final battle for Middle Earth begins,Fantasy Adventure
Pirates of the Caribbean,A pirate captain searches for a cursed treasure,Adventure Fantasy Action
Black Panther,A king protects his nation and challenges enemies,Action Adventure Sci-Fi
Captain America,A soldier becomes a super soldier to fight evil,Action Adventure
Thor,A god of thunder fights to protect Asgard and Earth,Action Fantasy Adventure
Hulk,A scientist transforms into a powerful green monster,Action Sci-Fi
Deadpool,A sarcastic mercenary gains healing powers and seeks revenge,Action Comedy
Logan,An aging Wolverine protects a young mutant girl,Action Drama Sci-Fi
X Men,Mutants with special powers fight for survival,Action Sci-Fi
Venom,A man bonds with an alien symbiote becoming Venom,Action Sci-Fi
Shazam,A boy transforms into a superhero by saying Shazam,Action Fantasy Comedy
Aquaman,A hero from Atlantis rises to claim his throne,Action Adventure Fantasy
Wonder Woman,An Amazon warrior fights in World War to protect humanity,Action Adventure Fantasy
Mission Impossible,A secret agent undertakes dangerous missions to save the world,Action Thriller
Fast and Furious,Street racers get involved in high speed heists,Action Crime Thriller
John Wick,A retired assassin seeks revenge for his dog,Action Crime Thriller
Mad Max Fury Road,A lone warrior helps rebels escape a tyrant,Action Adventure Sci-Fi
